ticker,name,market,sector,price,changePercent,marketCap,capCategory,pe,rsi,sma50,sma200,bearishScore,bullishScore,sentimentAvg,compositeScore
HD,Home Depot,US,Consumer Cyclical,347.62,7.30,346179371008,Large,24.441631,55.6,352.83,372.28,4,2,0.023,43
LOW,Lowe's,US,Consumer Cyclical,251.54,24.05,140878348288,Large,21.209106,57.3,252.68,248.50,0,4,0.032,55
XOM,ExxonMobil,US,Energy,148.97,169.43,619240095744,Large,22.202534,41.0,154.76,126.15,2,5,-0.283,57
CVX,Chevron,US,Energy,184.41,81.99,367306113024,Large,27.854984,38.6,192.02,164.89,2,3,-0.115,52
COP,ConocoPhillips,US,Energy,117.455,141.43,143612624896,Large,18.502361,40.9,119.56,100.09,2,4,-0.380,57
SLB,Schlumberger,US,Energy,52.66,108.55,79064686592,Large,22.412766,59.2,50.01,40.53,0,9,-0.022,70
EOG,EOG Resources,US,Energy,128.97,88.09,69199355904,Large,14.143092,38.4,131.68,117.21,2,7,-0.220,63
CAT,Caterpillar,US,Industrials,797.85,250.50,373309669376,Large,42.363518,65.2,736.00,571.58,0,7,0.208,65
BA,Boeing,US,Industrials,223.045,-4.71,175278604288,Large,89.9375,58.1,219.54,219.45,0,5,-0.126,44
HON,Honeywell,US,Industrials,230.795,7.72,146243977216,Large,33.255764,49.7,234.90,211.92,3,4,-0.146,50
UPS,UPS,US,Industrials,107.15,-40.37,91033952256,Large,16.332317,67.4,105.60,97.19,2,5,0.071,59
RTX,RTX Corp,US,Industrials,195.775,153.96,263508099072,Large,39.39135,44.8,200.39,177.39,2,2,0.210,50
